City;ta_2m;lon;lat;elev
Trebišov, Slovakia;9.1;21.720170974731445;48.628623962402344;212.0
Trenčín, Slovakia;5.1;18.038745880126953;48.89227294921875;512.0
Turčianske Teplice, Slovakia;2.9;18.860811233520508;48.86140823364258;470.0
Turzovka, Slovakia;2.0;18.62629508972168;49.405147552490234;239.0
Uhrovec, Slovakia;4.3;18.33759117126465;48.74345779418945;163.0
Veľké Lovce, Slovakia;5.1;18.33541679382324;48.060935974121094;361.0
Vígľaš - Pstruša, Slovakia;5.5;19.31812286376953;48.54635238647461;106.0
Vysoká nad Uhom, Slovakia;10.3;22.092195510864254;48.625980377197266;580.0
Zlatá Baňa, Slovakia;5.5;21.420406341552734;48.94948196411133;136.0
Želiezovce, Slovakia;5.8;18.658355712890625;48.049224853515625;278.0
Žiar nad Hronom, Slovakia;4.5;18.85009002685547;48.59101867675781;111.0
Žiharec, Slovakia;6.0;17.88808250427246;48.07138442993164;269.0
Žikava, Slovakia;3.9;18.382884979248047;48.44522476196289;346.0
Žilina, Slovakia;2.5;18.73931312561035;49.22346878051758;307.0
Žilina - letisko, Slovakia;3.4;18.617578506469727;49.22773361206055;307.0
